# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.039355848484848036e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.428731501182351260e-01-5.413671974650877683e-01j), (-8.205907720826841056e-03+1.756169478064211614e-02j), (2.871745032634084871e-03-2.499241607112133445e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.716207380606061442e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.443813632755332810e-01-5.581601526756738707e-01j), (-8.205907720826834117e-03+1.756169478064203981e-02j), (3.278289934569918185e-03-2.504042272205879438e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.393058912727273113e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.458895764328314359e-01-5.749531078862597511e-01j), (-8.205907720826847995e-03+1.756169478064197736e-02j), (3.684834836505772315e-03-2.508842937299619186e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.069910444848484785e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.467884207018155862e-01-5.803796111090209209e-01j), (-1.884238060446151875e-03-1.044819416158151645e-02j), (-2.253545183147728781e-03+6.470615452335584661e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.746761976969698191e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.466195029114257586e-01-5.886241541627990070e-01j), (-1.884238060446170090e-03-1.044819416158156676e-02j), (-9.596347215894349136e-04+6.460201859573189154e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.423613509090909862e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.464505851210359311e-01-5.968686972165770932e-01j), (-1.884238060446173342e-03-1.044819416158158064e-02j), (3.342757399688450759e-04+6.449788266810703441e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.100465041212121534e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.462816673306461035e-01-6.051132402703552904e-01j), (-1.884238060446181365e-03-1.044819416158158584e-02j), (1.628186201527086902e-03+6.439374674048155278e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.777316573333333205e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.461127495402562759e-01-6.133577833241332655e-01j), (-1.884238060446177029e-03-1.044819416158157370e-02j), (2.922096663085361687e-03+6.428961081285738954e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.454168105454546611e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.459438317498664206e-01-6.216023263779112407e-01j), (-1.884238060446186353e-03-1.044819416158162054e-02j), (4.216007124643641676e-03+6.418547488523267119e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.131019637575758283e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.457749139594765930e-01-6.298468694316892158e-01j), (-1.884238060446188521e-03-1.044819416158163095e-02j), (5.509917586201857481e-03+6.408133895760673854e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.078711696969699541e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.456059961690868765e-01-6.380914124854675240e-01j), (-1.884238060446181365e-03-1.044819416158157196e-02j), (6.803828047760184308e-03+6.397720302998254061e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.847227018181833602e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.454370783786969656e-01-6.463359555392454991e-01j), (-1.884238060446194810e-03-1.044819416158160319e-02j), (8.097738509318434807e-03+6.387306710235837737e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.615742339393932969e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.452681605883072213e-01-6.545804985930236963e-01j), (-1.884238060446219529e-03-1.044819416158168125e-02j), (9.391648970876735614e-03+6.376893117473337279e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.615742339393932969e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.982219959765801620e-01-5.692952635904902081e-01j), (-2.391408127030311432e-03+5.446666379739229825e-03j), (8.553390471581871768e-04+9.521348269339161008e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.847227018181798908e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.973864829207435112e-01-5.630914115692643440e-01j), (-2.391408127030332249e-03+5.446666379739160437e-03j), (-5.061652118693547864e-04+9.913291215059932826e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.078711696969699541e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.965509698649069159e-01-5.568875595480382579e-01j), (-2.391408127030363907e-03+5.446666379739127477e-03j), (-1.867669470896917566e-03+1.030523416078067689e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.131019637575756548e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.957154568090703206e-01-5.506837075268122828e-01j), (-2.391408127030387760e-03+5.446666379739053751e-03j), (-3.229173729924454325e-03+1.069717710650146258e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.454168105454543142e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.948799437532337253e-01-5.444798555055864187e-01j), (-2.391408127030403806e-03+5.446666379739011250e-03j), (-4.590677988952003227e-03+1.108912005222217889e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.777316573333333205e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.940444306973970745e-01-5.382760034843603325e-01j), (-2.391408127030423755e-03+5.446666379738970484e-03j), (-5.952182247979546925e-03+1.148106299794296112e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.100465041212119799e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.932089176415604792e-01-5.320721514631344684e-01j), (-2.391408127030454113e-03+5.446666379738898493e-03j), (-7.313686507007113174e-03+1.187300594366368263e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.423613509090906393e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.923734045857238839e-01-5.258682994419084933e-01j), (-2.391408127030464521e-03+5.446666379738893289e-03j), (-8.675190766034630852e-03+1.226494888938448394e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.746761976969696456e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.915378915298872331e-01-5.196644474206826292e-01j), (-2.391408127030503119e-03+5.446666379738777063e-03j), (-1.003669502506219884e-02+1.265689183510515861e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.069910444848483050e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.896151443699552464e-01-5.100563670679759687e-01j), (7.070482372962400008e-03+1.817675797333084819e-02j), (-1.449090661236947242e-02+7.239757017833331476e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.393058912727273113e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.226552678900795557e-01-4.943187738726820823e-01j), (-1.982522598149437376e-02+2.285531507829044462e-02j), (-7.737589839769154487e-02+1.675622012000735350e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.716207380606059707e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.708993838950247701e-01-4.481389757873722179e-01j), (3.205163166857517149e-02-8.734307515056599983e-03j), (-8.623536899495683195e-02+2.369962624962799330e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.039355848484846301e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.666961002499997901e-01-4.303201975166549564e-01j), (3.205163166857516455e-02-8.734307515056655494e-03j), (-8.344996000089008326e-02+2.702485377002749115e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.362504316363636364e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.624928166049748102e-01-4.125014192459375839e-01j), (3.205163166857518536e-02-8.734307515056671106e-03j), (-8.066455100682332069e-02+3.035008129042692654e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.685652784242422958e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.582895329599497747e-01-3.946826409752204334e-01j), (3.205163166857517842e-02-8.734307515056757842e-03j), (-7.787914201275661363e-02+3.367530881082637234e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.008801252121209552e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.540862493149248502e-01-3.768638627045032274e-01j), (3.205163166857515067e-02-8.734307515056841109e-03j), (-7.509373301868992046e-02+3.700053633122583896e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.331949719999999615e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.498829656698998425e-01-3.590450844337858549e-01j), (3.205163166857517842e-02-8.734307515056815088e-03j), (-7.230832402462318564e-02+4.032576385162526394e-02j)
